County,State,White_Non_Hispanic,Black,Native_American,Asian,Pacific_Islander,Some_Other_Race,Mixed,Hispanic
Tuscarawas,Ohio,84979,697,117,306,29,169,3004,3962
Union,Ohio,53287,1275,93,4043,0,201,2351,1534
Van Wert,Ohio,26467,257,37,88,13,79,893,1097
Vinton,Ohio,12213,43,19,22,0,14,405,84
Warren,Ohio,198227,8175,288,17278,158,704,9769,7738
Washington,Ohio,55663,600,114,309,8,158,2202,717
Wayne,Ohio,106930,1755,142,950,32,283,4047,2755
Williams,Ohio,33483,323,55,198,0,92,1089,1862
Wood,Ohio,112493,3089,164,2750,9,330,5133,8280
Wyandot,Ohio,20520,77,21,85,3,45,508,641
Adams,Pennsylvania,89945,1473,147,952,33,333,3179,7790
Allegheny,Pennsylvania,938252,161554,1305,58318,304,6064,50456,34325
Armstrong,Pennsylvania,62320,438,57,147,14,120,1972,490
Beaver,Pennsylvania,143881,11069,195,1022,53,613,7771,3611
Bedford,Pennsylvania,45381,181,66,153,0,50,1227,519
Berks,Pennsylvania,291258,18087,450,6225,61,1551,11667,99550
Blair,Pennsylvania,113016,2463,134,868,12,367,4254,1708
Bradford,Pennsylvania,55717,394,117,460,13,133,2260,873
Bucks,Pennsylvania,521575,25277,531,35053,143,2512,21677,39770
Butler,Pennsylvania,178081,2174,154,2792,36,577,6284,3665
Cambria,Pennsylvania,119380,5665,96,764,35,320,4747,2465
Cameron,Pennsylvania,4271,12,8,29,0,12,129,86
Carbon,Pennsylvania,57439,1070,95,327,14,216,1946,3642
Centre,Pennsylvania,129668,5306,120,11373,39,596,5419,5651
Chester,Pennsylvania,405476,28391,532,35143,119,2249,18961,43542
Clarion,Pennsylvania,35023,521,39,175,15,111,970,387
